iter	Passed	Remaining
168	46981	231017
169	47310	230985
170	47633	230922
171	47953	230848
172	48259	230695
173	48639	230900
174	48953	230781
175	49275	230700
176	49599	230622
177	49919	230525
178	50242	230444
179	50549	230279
180	50864	230157
181	51175	230009
182	51489	229872
183	51807	229756
184	52129	229651
185	52445	229518
186	52745	229315
187	53053	229145
188	53332	228849
189	53612	228556
190	53943	228484
191	54254	228321
192	54564	228154
193	54901	228095
194	55233	228015
195	55553	227882
196	55849	227651
197	56141	227401
198	56453	227234
199	56769	227076
200	57083	226914
201	57387	226709
202	57701	226541
203	58005	226337
204	58314	226144
205	58643	226032
206	58971	225916
207	59288	225750
208	59592	225538
209	59914	225393
210	60249	225292
211	60546	225050
212	60868	224898
213	61172	224679
214	61487	224500
215	61806	224334
216	62146	224243
217	62481	224131
218	62777	223878
219	63091	223688
220	63401	223483
221	63738	223370
222	64059	223203
223	64342	222900
224	64648	222676
225	64971	222512
226	65274	222277
227	65587	222077
228	65881	221809
229	66206	221648
230	66553	221555
231	66883	221408
232	67237	221334
233	67555	221142
234	67874	220953
235	68189	220749
236	68512	220570
237	68819	220338
238	69150	220182
239	69462	219965
240	69766	219721
241	70069	219472
242	70387	219272
243	70689	219022
244	71015	218842
245	71323	218609
246	71631	218374
247	71976	218251
248	72265	217956
249	72568	217704
250	72900	217540
251	73240	217396
252	73574	217233
253	73887	217006
254	74206	216798
255	74521	216579
256	74814	216293
257	75113	216025
258	75422	215783
259	75734	215552
260	76044	215313
261	76351	215067
262	76657	214817
263	76967	214577
264	77301	214402
265	77612	214164
266	77921	213920
267	78207	213610
268	78528	213400
269	78852	213194
270	79150	212916
271	79463	212680
272	79786	212470
273	80101	212238
274	80441	212072
275	80769	211873
276	81090	211654
277	81416	211448
278	81744	211245
279	82052	210992
280	82373	210770
281	82685	210525
282	83013	210320
283	83311	210040
284	83623	209792
285	83931	209534
286	84274	209364
287	84561	209054
288	84868	208793
289	85245	208704
290	85563	208469
291	85874	208215
292	86202	208004
293	86509	207740
294	86803	207445
295	87127	207221
296	87428	206943
297	87728	206662
298	88043	206416
299	88340	206127
300	88655	205880
301	88964	205618
302	89305	205432
303	89626	205197
304	89959	204989
305	90256	204699
306	90596	204505
307	90922	204280
308	91269	204100
309	91611	203909
310	91950	203709
311	92291	203514
312	92616	203282
313	92925	203015
314	93250	202781
315	93559	202515
316	93873	202256
317	94181	201986
318	94508	201757
319	94818	201488
320	95112	201187
321	95432	200940
322	95759	200709
323	96084	200473
324	96395	200205
325	96710	199947
326	97041	199721
327	97418	199588
328	97737	199337
329	98045	199061
330	98385	198851
331	98738	198666
332	99063	198425
333	99402	198209
334	99738	197987
335	100099	197816
336	100463	197648
337	100780	197386
338	101104	197138
339	101430	196894
340	101768	196671
341	102108	196453
342	102444	196228
343	102788	196016
344	103085	195713
345	103393	195431
346	103700	195147
347	104003	194856
348	104349	194646
349	104715	194472
350	105252	194611
351	105661	194513
352	106058	194391
353	106453	194263
354	106827	194095
355	107156	193845
356	107526	193667
357	107865	193435
358	108167	193135
359	108487	192866
360	108821	192623
361	109215	192485
362	109523	192194
363	109830	191901
364	110140	191614
365	110460	191343
366	110762	191041
367	111072	190754
368	111384	190471
369	111701	190194
370	112024	189928
371	112350	189666
372	112670	189395
373	112989	189122
374	113327	188879
375	113639	188592
376	113947	188300
377	114257	188010
378	114585	187751
379	114975	187591
380	115300	187325
381	115604	187024
382	115924	186749
383	116224	186443
384	116585	186234
385	116889	185933
386	117190	185627
387	117590	185478
388	117903	185190
389	118278	184999
390	118605	184733
391	118930	184463
392	119253	184191
393	119544	183867
394	119844	183559
395	120148	183256
396	120452	182955
397	120742	182630
398	121036	182312
399	121388	182082
400	121807	181952
401	122167	181732
402	122520	181500
403	122877	181274
404	123174	180959
405	123513	180706
406	123859	180462
407	124165	180162
408	124475	179866
409	124786	179570
410	125074	179243
411	125355	178905
412	125724	178693
413	126055	178426
414	126368	178133
415	126653	177801
416	126970	177515
417	127326	177282
418	127644	176996
419	127951	176694
420	128277	176419
421	128587	176122
422	128887	175811
423	129225	175551
424	129529	175246
425	129847	174958
426	130167	174674
427	130453	174344
428	130751	174030
429	131075	173750
430	131362	173423
431	131681	173136
432	132032	172892
433	132415	172689
434	132763	172440
435	133057	172120
436	133393	171854
437	133724	171582
438	134046	171298
439	134394	171047
440	134725	170774
441	135033	170472
442	135339	170167
443	135634	169848
444	135943	169548
445	136243	169235
446	136538	168916
447	136822	168584
448	137147	168303
449	137485	168038
450	137824	167773
451	138160	167503
452	138490	167228
453	138803	166931
454	139122	166640
455	139439	166348
456	139755	166055
457	140049	165735
458	140348	165422
459	140678	165143
460	140972	164825
461	141262	164500
462	141569	164196
463	141886	163903
464	142203	163611
465	142525	163322
466	142852	163040
467	143166	162744
468	143482	162450
469	143817	162177
470	144139	161888
471	144461	161600
472	144776	161305
473	145065	160980
474	145389	160693
475	145694	160386
476	146008	160088
477	146337	159807
478	146666	159526
479	146981	159229
480	147313	158951
481	147621	158647
482	147938	158352
483	148248	158050
484	148569	157758
485	148873	157450
486	149195	157160
487	149513	156866
488	149823	156563
489	150135	156263
490	150430	155945
491	150741	155643
492	151050	155339
493	151356	155033
494	151674	154738
495	151993	154445
496	152317	154156
497	152619	153845
498	152894	153507
499	153208	153208
500	153521	152908
501	153859	152633
502	154195	152355
503	154516	152063
504	154835	151769
505	155149	151469
506	155469	151176
507	155781	150874
508	156094	150574
509	156349	150217
510	156635	149891
511	156947	149590
512	157259	149288
513	157548	148965
514	157865	148669
515	158179	148369
516	158562	148134
517	158917	147873
518	159245	147585
519	159558	147284
520	159852	146966
521	160166	146665
522	160469	146355
523	160776	146049
524	161079	145738
525	161363	145410
526	161676	145109
527	162007	144824
528	162326	144528
529	162716	144295
530	163047	144010
531	163344	143693
532	163662	143396
533	164011	143125
534	164339	142837
535	164673	142553
536	165004	142266
537	165340	141983
538	165736	141752
539	166098	141491
540	166456	141226
541	166827	140972
542	167195	140715
543	167585	140475
544	167939	140206
545	168271	139918
546	168639	139659
547	169000	139394
548	169337	139109
549	169693	138840
550	170025	138550
551	170343	138250
552	170679	137963
553	170830	137527
554	171181	137253
555	171510	136961
556	171873	136696
557	172273	136460
558	172651	136205
559	172945	135885
560	173279	135596
561	173584	135284
562	173895	134977
563	174211	134674
564	174558	134394
565	174926	134131
566	175240	133825
567	175551	133517
568	175868	133214
569	176204	132925
570	176601	132682
571	176913	132375
572	177245	132083
573	177573	131787
574	177896	131488
575	178211	131183
576	178541	130888
577	178841	130572
578	179154	130266
579	179471	129962
580	179808	129672
581	180158	129391
582	180668	129226
583	181165	129049
584	181669	128876
585	182040	128608
586	182379	128318
587	182712	128022
588	183034	127719
589	183425	127465
590	183811	127206
591	184148	126913
592	184500	126630
593	184824	126328
594	185155	126030
595	185480	125728
596	185821	125437
597	186154	125140
598	186451	124819
599	186787	124525
600	187128	124233
601	187454	123931
602	187814	123652
603	188164	123365
604	188516	123081
605	188911	122823
606	189232	122517
607	189550	122210
608	189979	121973
609	190354	121702
610	190652	121380
611	190969	121072
612	191274	120755
613	191590	120446
614	191899	120132
615	192200	119813
616	192519	119505
617	192814	119182
618	193154	118888
619	193490	118591
620	193838	118301
621	194155	117991
622	194480	117687
623	194815	117388
624	195157	117094
625	195479	116788
626	195861	116517
627	196186	116212
628	196494	115897
629	196783	115571
630	197132	115280
631	197476	114986
632	197791	114675
633	198123	114374
634	198480	114087
635	198819	113789
636	199145	113484
637	199467	113177
638	199771	112860
639	200090	112550
640	200423	112249
641	200805	111975
642	201148	111679
643	201458	111365
644	201804	111070
645	202114	110756
646	202436	110448
647	202767	110145
648	203095	109840
649	203406	109526
650	203706	109206
651	204010	108889
652	204333	108581
653	204625	108257
654	204912	107931
655	205238	107625
656	205549	107311
657	205883	107009
658	206205	106701
659	206512	106385
660	206817	106068
661	207143	105761
662	207472	105457
663	207774	105139
664	208117	104841
665	208432	104529
666	208756	104221
667	209065	103906
668	209396	103602
669	209692	103281
670	210021	102976
671	210328	102660
672	210630	102342
673	210962	102038
674	211227	101702
675	211551	101394
676	211854	101076
677	212176	100768
678	212495	100458
679	212826	100153
680	213167	99853
681	213500	99549
682	213824	99241
683	214141	98930
684	214456	98618
685	214751	98297
686	215066	97984
687	215371	97668
688	215696	97360
689	216025	97054
690	216363	96752
691	216660	96432
692	216978	96121
693	217288	95807
694	217595	95491
695	217923	95184
696	218213	94861
697	218515	94543
698	218849	94239
699	219165	93928
700	219494	93621
701	219840	93322
702	220227	93040
703	220586	92746
704	220894	92430
705	221237	92130
706	221579	91828
707	221928	91529
708	222285	91234
709	222647	90940
710	223053	90664
711	223399	90363
712	223753	90066
713	224053	89746
714	224409	89449
715	224779	89158
716	225111	88851
717	225585	88600
718	226052	88346
719	226340	88021
720	226725	87734
721	227020	87412
722	227308	87087
723	227598	86764
724	227890	86441
725	228192	86122
726	228615	85848
727	228916	85529
728	229248	85221
729	229588	84916
730	229888	84596
731	230212	84285
732	230514	83966
733	230837	83655
734	231153	83340
735	231480	83031
736	231798	82717
737	232115	82404
738	232451	82097
739	232845	81810
740	233210	81513
741	233469	81179
742	233718	80842
743	233972	80506
744	234215	80167
745	234545	79858
746	234837	79536
747	235072	79195
748	235308	78855
749	235548	78516
750	235798	78180
751	236026	77838
752	236259	77498
753	236489	77157
754	236757	76828
755	237003	76493
756	237253	76159
757	237479	75818
758	237730	75485
759	237963	75146
760	238212	74813
761	238446	74475
762	238708	74146
763	238956	73813
764	239243	73493
765	239507	73165
766	239777	72839
767	240062	72518
768	240342	72196
769	240623	71874
770	240904	71552
771	241243	71248
772	241584	70943
773	242111	70693
774	242414	70378
775	242699	70057
776	242990	69738
777	243273	69417
778	243542	69092
779	243825	68771
780	244103	68449
781	244392	68129
782	244676	67809
783	244945	67484
784	245305	67185
785	245640	66879
786	246018	66584
787	246380	66285
788	246654	65962
789	246919	65636
790	247174	65309
791	247453	64987
792	247797	64683
793	248097	64367
794	248346	64039
795	248606	63713
796	248940	63406
797	249287	63102
798	249645	62801
799	250016	62504
800	250424	62215
801	250756	61907
802	251081	61597
803	251396	61285
804	251784	60991
805	252066	60671
806	252326	60345
807	252580	60019
808	252841	59694
809	253100	59369
810	253345	59041
811	253618	58719
812	253900	58400
813	254169	58078
814	254431	57754
815	254728	57438
816	255010	57119
817	255270	56796
818	255528	56472
819	255785	56147
820	256049	55825
821	256418	55526
822	256803	55229
823	257181	54931
824	257682	54659
825	258073	54364
826	258465	54068
827	258858	53772
828	259214	53468
829	259487	53147
830	259763	52828
831	260035	52507
832	260316	52188
833	260673	51884
834	261027	51580
835	261342	51268
836	261633	50951
837	261911	50632
838	262190	50313
839	262532	50006
840	262999	49722
841	263286	49405
842	263592	49091
843	263894	48776
844	264200	48462
845	264478	48143
846	264855	47842
847	265154	47527
848	265427	47207
849	265704	46888
850	266003	46574
851	266292	46257
852	266612	45946
853	266937	45635
854	267302	45331
855	267630	45022
856	267971	44714
857	268299	44403
858	268626	44093
859	268932	43779
860	269222	43463
861	269504	43145
862	269792	42829
863	270091	42514
864	270383	42198
865	270691	41885
866	271182	41600
867	271503	41288
868	271892	40987
869	272188	40671
870	272490	40357
871	272777	40040
872	273106	39730
873	273654	39451
874	274120	39160
875	274500	38856
876	274823	38544
877	275146	38232
878	275474	37920
879	275835	37613
880	276257	37315
881	276865	37040
882	277267	36738
883	277844	36459
884	278229	36154
885	278584	35844
886	278933	35534
887	279280	35224
888	279589	34909
889	279918	34596
890	280239	34282
891	280589	33972
892	280929	33661
893	281267	33349
894	281628	33040
895	281975	32729
896	282290	32414
897	282608	32100
898	282922	31785
899	283272	31474
900	283595	31160
901	283926	30847
902	284279	30537
903	284640	30227
904	284996	29916
905	285319	29602
906	285715	29296
907	286104	28988
908	286513	28682
909	286908	28375
910	287276	28065
911	287681	27758
912	288047	27448
913	288421	27138
914	288768	26825
915	289124	26513
916	289466	26200
917	289803	25886
918	290113	25570
919	290444	25256
920	290769	24941
921	291111	24627
922	291438	24312
923	291738	23995
924	292062	23680
925	292373	23364
926	292696	23049
927	293014	22733
928	293334	22418
929	293676	22104
930	294024	21791
931	294462	21484
932	294820	21171
933	295167	20857
934	295523	20544
935	295869	20230
936	296224	19916
937	296562	19602
938	296904	19287
939	297257	18973
940	297605	18659
941	297935	18344
942	298284	18029
943	298628	17715
944	298977	17400
945	299313	17085
946	299694	16772
947	300053	16458
948	300383	16142
949	300732	15828
950	301069	15512
951	301461	15199
952	301805	14884
953	302156	14569
954	302527	14255
955	302887	13940
956	303212	13623
957	303589	13309
958	303941	12994
959	304281	12678
960	304645	12363
961	304996	12047
962	305344	11731
963	305684	11415
964	306103	11102
965	306490	10787
966	306849	10471
967	307186	10154
968	307529	9838
969	307868	9521
970	308193	9204
971	308497	8886
972	308814	8569
973	309135	8252
974	309503	7935
975	309845	7619
976	310211	7302
977	310535	6985
978	310878	6668
979	311223	6351
980	311572	6034
981	311889	5716
982	312210	5399
983	312527	5081
984	312847	4764
985	313174	4446
986	313517	4129
987	313850	3811
988	314169	3494
989	314537	3177
990	314889	2859
991	315244	2542
992	315584	2224
993	315908	1906
994	316239	1589
995	316589	1271
996	316944	953
997	317321	635
998	317653	317
999	317973	0
